cast,id,directors,belongs_to_collection,budget,genres,id,popularity,production_companies,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count,release_year,return
"[{'character': 'Woody (voice)', 'name': 'Tom Hanks'}, {'character': 'Buzz Lightyear (voice)', 'name': 'Tim Allen'}, {'character': 'Mr. Potato Head (voice)', 'name': 'Don Rickles'}, {'character': 'Slinky Dog (voice)', 'name': 'Jim Varney'}, {'character': 'Rex (voice)', 'name': 'Wallace Shawn'}, {'character': 'Hamm (voice)', 'name': 'John Ratzenberger'}, {'character': 'Bo Peep (voice)', 'name': 'Annie Potts'}, {'character': 'Andy (voice)', 'name': 'John Morris'}, {'character': 'Sid (voice)', 'name': 'Erik von Detten'}, {'character': 'Mrs. Davis (voice)', 'name': 'Laurie Metcalf'}, {'character': 'Sergeant (voice)', 'name': 'R. Lee Ermey'}, {'character': 'Hannah (voice)', 'name': 'Sarah Freeman'}, {'character': 'TV Announcer (voice)', 'name': 'Penn Jillette'}]",862,['John Lasseter'],Toy Story Collection,30000000.0,"Animation, Comedy, Family",862.0,21.946943,"[{'name': 'Pixar Animation Studios', 'id': 3}]",1995-10-30,373554033.0,81.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Toy Story,7.7,5415.0,1995.0,12.4518011
"[{'character': 'Alan Parrish', 'name': 'Robin Williams'}, {'character': 'Samuel Alan Parrish / Van Pelt', 'name': 'Jonathan Hyde'}, {'character': 'Judy Sheperd', 'name': 'Kirsten Dunst'}, {'character': 'Peter Shepherd', 'name': 'Bradley Pierce'}, {'character': 'Sarah Whittle', 'name': 'Bonnie Hunt'}, {'character': 'Nora Shepherd', 'name': 'Bebe Neuwirth'}, {'character': 'Carl Bentley', 'name': 'David Alan Grier'}, {'character': 'Carol Anne Parrish', 'name': 'Patricia Clarkson'}, {'character': 'Alan Parrish (young)', 'name': 'Adam Hann-Byrd'}, {'character': 'Sarah Whittle (young)', 'name': 'Laura Bell Bundy'}, {'character': 'Exterminator', 'name': 'James Handy'}, {'character': 'Mrs. Thomas the Realtor', 'name': 'Gillian Barber'}, {'character': 'Benjamin', 'name': 'Brandon Obray'}, {'character': 'Caleb', 'name': 'Cyrus Thiedeke'}, {'character': 'Billy Jessup', 'name': 'Gary Joseph Thorup'}, {'character': 'Cop', 'name': 'Leonard Zola'}, {'character': 'Bum', 'name': 'Lloyd Berry'}, {'character': 'Jim Shepherd', 'name': 'Malcolm Stewart'}, {'character': 'Martha Shepherd', 'name': 'Annabel Kershaw'}, {'character': 'Gun Salesman', 'name': 'Darryl Henriques'}, {'character': 'Paramedic', 'name': 'Robyn Driscoll'}, {'character': 'Paramedic', 'name': 'Peter Bryant'}, {'character': 'Girl', 'name': 'Sarah Gilson'}, {'character': 'Girl', 'name': 'Florica Vlad'}, {'character': 'Baker', 'name': 'June Lion'}, {'character': 'Pianist', 'name': 'Brenda Lockmuller'}]",8844,['Joe Johnston'],,65000000.0,"Adventure, Fantasy, Family",8844.0,17.015539,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Teitler Film', 'id': 2550}, {'name': 'Interscope Communications', 'id': 10201}]",1995-12-15,262797249.0,104.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,Jumanji,6.9,2413.0,1995.0,4.0430346
"[{'character': 'Max Goldman', 'name': 'Walter Matthau'}, {'character': 'John Gustafson', 'name': 'Jack Lemmon'}, {'character': 'Ariel Gustafson', 'name': 'Ann-Margret'}, {'character': 'Maria Sophia Coletta Ragetti', 'name': 'Sophia Loren'}, {'character': 'Melanie Gustafson', 'name': 'Daryl Hannah'}, {'character': 'Grandpa Gustafson', 'name': 'Burgess Meredith'}, {'character': 'Jacob Goldman', 'name': 'Kevin Pollak'}]",15602,['Howard Deutch'],Grumpy Old Men Collection,0.0,"Romance, Comedy",15602.0,11.7129,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Lancaster Gate', 'id': 19464}]",1995-12-22,0.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Grumpier Old Men,6.5,92.0,1995.0,0.0
"[{'character': ""Savannah 'Vannah' Jackson"", 'name': 'Whitney Houston'}, {'character': ""Bernadine 'Bernie' Harris"", 'name': 'Angela Bassett'}, {'character': ""Gloria 'Glo' Matthews"", 'name': 'Loretta Devine'}, {'character': 'Robin Stokes', 'name': 'Lela Rochon'}, {'character': 'Marvin King', 'name': 'Gregory Hines'}, {'character': 'Kenneth Dawkins', 'name': 'Dennis Haysbert'}, {'character': 'John Harris, Sr.', 'name': 'Michael Beach'}, {'character': 'Troy', 'name': 'Mykelti Williamson'}, {'character': 'Joseph', 'name': 'Lamont Johnson'}, {'character': 'James Wheeler', 'name': 'Wesley Snipes'}]",31357,['Forest Whitaker'],,16000000.0,"Comedy, Drama, Romance",31357.0,3.859495,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",1995-12-22,81452156.0,127.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Waiting to Exhale,6.1,34.0,1995.0,5.09075975
"[{'character': 'George Banks', 'name': 'Steve Martin'}, {'character': 'Nina Banks', 'name': 'Diane Keaton'}, {'character': 'Franck Eggelhoffer', 'name': 'Martin Short'}, {'character': 'Annie Banks-MacKenzie', 'name': 'Kimberly Williams-Paisley'}, {'character': 'Bryan MacKenzie', 'name': 'George Newbern'}, {'character': 'Matty Banks', 'name': 'Kieran Culkin'}, {'character': 'Howard Weinstein', 'name': 'BD Wong'}, {'character': 'John MacKenzie', 'name': 'Peter Michael Goetz'}, {'character': 'Joanna MacKenzie', 'name': 'Kate McGregor-Stewart'}, {'character': 'Dr. Megan Eisenberg', 'name': 'Jane Adams'}, {'character': 'Mr. Habib', 'name': 'Eugene Levy'}, {'character': 'Wife Mrs. Habib', 'name': 'Lori Alan'}]",11862,['Charles Shyer'],Father of the Bride Collection,0.0,Comedy,11862.0,8.387519,"[{'name': 'Sandollar Productions', 'id': 5842}, {'name': 'Touchstone Pictures', 'id': 9195}]",1995-02-10,76578911.0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Father of the Bride Part II,5.7,173.0,1995.0,0.0
"[{'character': 'Lt. Vincent Hanna', 'name': 'Al Pacino'}, {'character': 'Neil McCauley', 'name': 'Robert De Niro'}, {'character': 'Chris Shiherlis', 'name': 'Val Kilmer'}, {'character': 'Nate', 'name': 'Jon Voight'}, {'character': 'Michael Cheritto', 'name': 'Tom Sizemore'}, {'character': 'Justine Hanna', 'name': 'Diane Venora'}, {'character': 'Eady', 'name': 'Amy Brenneman'}, {'character': 'Charlene Shiherlis', 'name': 'Ashley Judd'}, {'character': 'Sergeant Drucker', 'name': 'Mykelti Williamson'}, {'character': 'Lauren Gustafson', 'name': 'Natalie Portman'}, {'character': 'Bosko', 'name': 'Ted Levine'}, {'character': 'Kelso', 'name': 'Tom Noonan'}, {'character': 'Richard Torena', 'name': 'Tone Loc'}, {'character': 'Alan Marciano', 'name': 'Hank Azaria'}, {'character': 'Detective Casals', 'name': 'Wes Studi'}, {'character': 'Donald Breedan', 'name': 'Dennis Haysbert'}, {'character': 'Trejo', 'name': 'Danny Trejo'}, {'character': 'Hugh Benny', 'name': 'Henry Rollins'}, {'character': 'Roger Van Zant', 'name': 'William Fichtner'}, {'character': 'Waingro', 'name': 'Kevin Gage'}, {'character': 'Elaine Cheritto', 'name': 'Susan Traylor'}, {'character': 'Schwartz', 'name': 'Jerry Trimble'}, {'character': 'Albert Torena', 'name': 'Ricky Harris'}, {'character': 'Dr. Bob', 'name': 'Jeremy Piven'}, {'character': 'Ralph', 'name': 'Xander Berkeley'}, {'character': 'Anna Trejo', 'name': 'Begonya Plaza'}, {'character': 'Armoured Guard', 'name': 'Rick Avery'}, {'character': ""Hooker's Mother"", 'name': 'Hazelle Goodman'}, {'character': 'Timmons', 'name': 'Ray Buktenica'}, {'character': 'Shooter at Drive-in', 'name': 'Max Daniels'}, {'character': 'Driver at Drive-in', 'name': 'Vince Deadrick Jr.'}, {'character': 'Officer Bruce', 'name': 'Steven Ford'}, {'character': 'Claudia', 'name': 'Farrah Forke'}, {'character': ""Bosko's Date"", 'name': 'Patricia Healy'}, {'character': 'Sergeant Heinz', 'name': 'Paul Herman'}, {'character': 'Rachel', 'name': 'Cindy Katz'}, {'character': 'Captain Jackson', 'name': 'Brian Libby'}, {'character': 'Harry Dieter', 'name': 'Dan Martin'}, {'character': 'Bank Guard', 'name': 'Mario Roberts'}, {'character': 'Armoured Truck Driver', 'name': 'Thomas Rosales, Jr.'}, {'character': 'Hostage Girl', 'name': 'Yvonne Zima'}, {'character': '1st SIS Detective in the hallway (uncredited)', 'name': 'Mick Gould'}, {'character': 'Solenko, Restaurant Manager (uncredited)', 'name': 'Bud Cort'}, {'character': 'Castilian Woman (uncredited)', 'name': 'Viviane Vives'}, {'character': 'Lillian', 'name': 'Kim Staunton'}, {'character': 'Construction Clerk', 'name': 'Martin Ferrero'}, {'character': ""Children's Hospital Doctor"", 'name': 'Brad Baldridge'}, {'character': 'Dominick', 'name': 'Andrew Camuccio'}, {'character': 'Bartender', 'name': 'Kenny Endoso'}, {'character': ""Casals' Date"", 'name': 'Kimberly Flynn'}, {'character': 'Marcia Drucker', 'name': 'Niki Harris'}, {'character': 'Armoured Guard', 'name': 'Bill McIntosh'}, {'character': 'Basketball Player', 'name': 'Rick Marzan'}, {'character': ""Children's Hospital Nurse"", 'name': 'Terry Miller'}, {'character': 'Detective', 'name': ""Daniel O'Haco""}, {'character': 'Prostitute', 'name': 'Kai Soremekun'}, {'character': 'Bar Couple (uncredited)', 'name': 'Peter Blackwell'}, {'character': 'Restaurant Patron (uncredited)', 'name': 'Trevor Coppola'}, {'character': 'Police Woman (uncredited)', 'name': 'Mary Kircher'}, {'character': 'Grocery Store Employee (uncredited)', 'name': 'Darin Mangan'}, {'character': 'Cusamano (uncredited)', 'name': 'Robert Miranda'}, {'character': 'Grocery Store Cop (uncredited)', 'name': 'Manny Perry'}, {'character': 'Waitress (uncredited)', 'name': 'Iva Franks Singer'}, {'character': 'Bank Guard (uncredited)', 'name': 'Tim Werner'}, {'character': 'Ellis (uncredited)', 'name': 'Philip Ettington'}]",949,['Michael Mann'],,60000000.0,"Action, Crime, Drama, Thriller",949.0,17.924927,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Warner Bros.', 'id': 6194}]",1995-12-15,187436818.0,170.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Heat,7.7,1886.0,1995.0,3.123946966666667
"[{'character': 'Linus Larrabee', 'name': 'Harrison Ford'}, {'character': 'Sabrina Fairchild', 'name': 'Julia Ormond'}, {'character': 'David Larrabee', 'name': 'Greg Kinnear'}, {'character': 'Mrs. Ingrid Tyson', 'name': 'Angie Dickinson'}, {'character': 'Maude Larrabee', 'name': 'Nancy Marchand'}, {'character': 'Fairchild', 'name': 'John Wood'}, {'character': 'Patrick Tyson', 'name': 'Richard Crenna'}, {'character': 'Elizabeth Tyson', 'name': 'Lauren Holly'}, {'character': 'Mack', 'name': 'Dana Ivey'}, {'character': 'Irene', 'name': 'Fanny Ardant'}, {'character': 'Louis', 'name': 'Patrick Bruel'}, {'character': 'Scott', 'name': 'Paul Giamatti'}, {'character': 'Rosa', 'name': 'Miriam Colón'}, {'character': 'Joanna', 'name': 'Elizabeth Franz'}, {'character': 'Martine', 'name': 'Valérie Lemercier'}, {'character': 'Linda', 'name': 'Becky Ann Baker'}, {'character': 'Ron', 'name': 'John C. Vennema'}, {'character': 'Nurse', 'name': 'Margo Martindale'}, {'character': 'Carol', 'name': 'J. Smith-Cameron'}, {'character': 'Ticket Taker', 'name': 'Christine Luneau-Lipton'}, {'character': 'Singer at Larrabee Party', 'name': 'Michael Dees'}, {'character': 'Butler', 'name': 'Denis Holmes'}, {'character': 'Red Head', 'name': 'Jo-Jo Lowe'}, {'character': 'Bartender', 'name': 'Ira Wheeler'}, {'character': 'Kelly', 'name': 'Philippa Cooper'}, {'character': 'India', 'name': 'Ayako Kawahara'}, {'character': 'Make-Up Assistant', 'name': 'François Genty'}, {'character': 'Assistant', 'name': 'Guillaume Gallienne'}, {'character': 'Model', 'name': 'Inés Sastre'}, {'character': 'Model', 'name': 'Phina Oruche'}, {'character': 'Model', 'name': 'Andrea Behalikova'}, {'character': 'Model', 'name': 'Jennifer Herrera'}, {'character': 'Model', 'name': 'Kristina Kumlin'}, {'character': 'Model', 'name': 'Eva Linderholm'}, {'character': 'Paris Friend', 'name': 'Carmen Chaplin'}, {'character': 'Paris Friend', 'name': 'Micheline Van de Velde'}, {'character': 'Paris Friend', 'name': 'Joanna Rhodes'}, {'character': 'Paris Friend', 'name': 'Alan Boone'}, {'character': 'Paris Friend', 'name': 'Patrick Forster-Delmas'}, {'character': 'Paris Friend', 'name': 'Kentaro Matsuo'}, {'character': 'Helicopter Pilot', 'name': 'Peter McKernan'}, {'character': 'Gulf Stream Pilot', 'name': 'Ed Connelly'}, {'character': 'Sheik', 'name': 'Ronald L. Schwary'}, {'character': 'Tyson Butler', 'name': 'Alvin Lum'}, {'character': 'Mother in Hospital', 'name': 'Siching Song'}, {'character': 'Father in Hospital', 'name': 'Phil Nee'}, {'character': 'Trainer', 'name': 'Randy Becker'}, {'character': 'Secretary', 'name': 'Susan Browning'}, {'character': 'Moroccan Waiter', 'name': 'Anthony Mondal'}, {'character': 'Senator', 'name': 'Peter Parks'}, {'character': 'Japanese Businessman (uncredited)', 'name': 'Woodrow Asai'}, {'character': 'Airport Employee (uncredited)', 'name': 'Eric Bruno Borgman'}, {'character': 'Head Butler (uncredited)', 'name': 'Michael Cline'}, {'character': 'Businessman in Window (uncredited)', 'name': 'Christopher Del Gaudio'}, {'character': 'Wedding Guest (uncredited)', 'name': 'Philippe Hartmann'}, {'character': 'Pizza Patron (uncredited)', 'name': 'Jerry Quinn'}, {'character': 'Ballroom Dancer (uncredited)', 'name': 'Dori Rosenthal'}]",11860,['Sydney Pollack'],,58000000.0,"Comedy, Romance",11860.0,6.677277,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Scott Rudin Productions', 'id': 258}, {'name': 'Mirage Enterprises', 'id': 932}, {'name': 'Sandollar Productions', 'id': 5842}, {'name': 'Constellation Entertainment', 'id': 14941}, {'name': 'Worldwide', 'id': 55873}, {'name': 'Mont Blanc Entertainment GmbH', 'id': 58079}]",1995-12-15,0.0,127.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Sabrina,6.2,141.0,1995.0,0.0
"[{'character': 'Tom Sawyer', 'name': 'Jonathan Taylor Thomas'}, {'character': 'Huck Finn', 'name': 'Brad Renfro'}, {'character': 'Becky Thatcher', 'name': 'Rachael Leigh Cook'}, {'character': 'Muff Potter', 'name': 'Michael McShane'}, {'character': 'Aunt Polly', 'name': 'Amy Wright'}, {'character': 'Injun Joe', 'name': 'Eric Schweig'}, {'character': 'Townsperson', 'name': 'Tamara Mello'}]",45325,['Peter Hewitt'],,0.0,"Action, Adventure, Drama, Family",45325.0,2.561161,"[{'name': 'Walt Disney Pictures', 'id': 2}]",1995-12-22,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Tom and Huck,5.4,45.0,1995.0,0.0
"[{'character': 'Darren Francis Thomas McCord', 'name': 'Jean-Claude Van Damme'}, {'character': 'Joshua Foss', 'name': 'Powers Boothe'}, {'character': 'Matthew Hallmark', 'name': 'Dorian Harewood'}, {'character': 'Vizepräsident Daniel Bender', 'name': 'Raymond J. Barry'}, {'character': 'Tyler', 'name': 'Ross Malinger'}, {'character': 'Emily McCord', 'name': 'Whittni Wright'}]",9091,['Peter Hyams'],,35000000.0,"Action, Adventure, Thriller",9091.0,5.23158,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Imperial Entertainment', 'id': 21437}, {'name': 'Signature Entertainment', 'id': 23770}]",1995-12-22,64350171.0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Sudden Death,5.5,174.0,1995.0,1.8385763142857143
"[{'character': 'James Bond', 'name': 'Pierce Brosnan'}, {'character': 'Alec Trevelyan', 'name': 'Sean Bean'}, {'character': 'Natalya Fyodorovna Simonova', 'name': 'Izabella Scorupco'}, {'character': 'Xenia Onatopp', 'name': 'Famke Janssen'}, {'character': 'Jack Wade', 'name': 'Joe Don Baker'}, {'character': 'M', 'name': 'Judi Dench'}, {'character': 'General Arkady Grigorovich Ourumov', 'name': 'Gottfried John'}, {'character': 'Valentin Dmitrovich Zukovsky', 'name': 'Robbie Coltrane'}, {'character': 'Boris Grishenko', 'name': 'Alan Cumming'}, {'character': 'Defense Minister Dmitri Mishkin', 'name': 'Tchéky Karyo'}, {'character': 'Q', 'name': 'Desmond Llewelyn'}, {'character': 'Miss Moneypenny', 'name': 'Samantha Bond'}, {'character': 'Bill Tanner', 'name': 'Michael Kitchen'}, {'character': 'Caroline', 'name': 'Serena Gordon'}, {'character': 'Severnaya Duty Officer', 'name': 'Simon Kunz'}, {'character': 'Admiral Chuck Farrell', 'name': 'Billy J. Mitchell'}, {'character': 'Computer Store Manager', 'name': 'Constantine Gregory'}, {'character': 'Irina', 'name': 'Minnie Driver'}, {'character': 'Anna', 'name': 'Michelle Arthur'}, {'character': 'Mig Pilot', 'name': 'Ravil Isyanov'}]",710,['Martin Campbell'],James Bond Collection,58000000.0,"Adventure, Action, Thriller",710.0,14.686036,"[{'name': 'United Artists', 'id': 60}, {'name': 'Eon Productions', 'id': 7576}]",1995-11-16,352194034.0,130.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,GoldenEye,6.6,1194.0,1995.0,6.072310931034483
